date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-08-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.7,0.2989
2010-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.81,0.1151
2010-08-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.98,0.2532
2010-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.44,0.2189
2010-08-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,50.22,3.1953
2010-08-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,17.0,1.0816
2010-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.28,0.2724
2010-08-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.82,0.6251
2010-08-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,33.42,2.1265
2010-08-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.76,0.5573
2010-08-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,5.76,0.3666
2010-08-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,8.89,0.5656
2010-08-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,11.26,0.7162
2010-08-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.7,0.1081
2010-08-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,1.86,0.1186
2010-08-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.2,0.1402
2010-09-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.05,0.3211
